team_id,team,team_provider,player,status,short_id,provider_id,position,tournament_season_id,team_2627,team_id_26-27,team_provider_id_26-27,change_type,source_url,confidence,notes
ef455f5f-f067-4d29-ab67-f6e14b44a1e7,Leicester Tigers,1250,Tom Threlfall,ACTIVE,7937,59285,fly-half,9233192a-bfed-489b-b224-5c9e02f587de,,,,departed,https://en.wikipedia.org/wiki/List_of_2026%E2%80%9327_Premiership_Rugby_transfers ; https://all.rugby/transfers/premiership,Medium,To Rotherham Titans
473a715d-80f5-4707-a8e2-52902fadc9bc,Sale Sharks,1450,Oliver Spencer,ACTIVE,8266,901209,prop,9233192a-bfed-489b-b224-5c9e02f587de,Sale Sharks,473a715d-80f5-4707-a8e2-52902fadc9bc,1450,stay,,,
6959008c-ebd2-49ed-b1db-29a124e3e922,Harlequins,1150,Frank McMillan,ACTIVE,7936,59138,centre,9233192a-bfed-489b-b224-5c9e02f587de,Harlequins,6959008c-ebd2-49ed-b1db-29a124e3e922,1150,stay,,,
3bb58f66-38c1-4f9c-adff-0ac33a01533b,Saracens,1500,Ben Earl,ACTIVE,7071,23732,loose-forward,9233192a-bfed-489b-b224-5c9e02f587de,Saracens,3bb58f66-38c1-4f9c-adff-0ac33a01533b,1500,stay,,,
9e46b555-7bd7-4113-9005-641caab27c3c,Ulster Rugby,2450,Nick Timoney,ACTIVE,7037,22811,loose-forward,b314ec41-b6b0-4274-a98f-4a675628d202,Ulster Rugby,9e46b555-7bd7-4113-9005-641caab27c3c,2450,stay,,,
e33c7a17-a675-46a9-b68c-be767cc211db,Northampton Saints,1400,Will Spencer,ACTIVE,6783,19217,lock,9233192a-bfed-489b-b224-5c9e02f587de,Northampton Saints,e33c7a17-a675-46a9-b68c-be767cc211db,1400,stay,,,
20aa34f7-3d7a-4cf4-be95-70ca236af7a0,Bath Rugby,1000,Joe Cokanasiga,ACTIVE,7067,23668,outside-back,9233192a-bfed-489b-b224-5c9e02f587de,Bath Rugby,20aa34f7-3d7a-4cf4-be95-70ca236af7a0,1000,stay,,,
ef455f5f-f067-4d29-ab67-f6e14b44a1e7,Leicester Tigers,1250,Tommy Reffell,ACTIVE,7174,25969,loose-forward,9233192a-bfed-489b-b224-5c9e02f587de,Leicester Tigers,ef455f5f-f067-4d29-ab67-f6e14b44a1e7,1250,stay,,,
ca7c6d0f-7bef-4fad-8ac2-d202471fa122,Exeter Chiefs,84,Tom Hooper,ACTIVE,8176,31806,loose-forward,9233192a-bfed-489b-b224-5c9e02f587de,Exeter Chiefs,ca7c6d0f-7bef-4fad-8ac2-d202471fa122,84,stay,,,
6959008c-ebd2-49ed-b1db-29a124e3e922,Harlequins,1150,Simon Kerrod,ACTIVE,6995,21916,prop,9233192a-bfed-489b-b224-5c9e02f587de,Harlequins,6959008c-ebd2-49ed-b1db-29a124e3e922,1150,stay,,,
41d2c944-4a5a-4de0-8eb4-e5b57835cff7,Connacht Rugby,3400,Dave Heffernan,ACTIVE,6831,18672,hooker,b314ec41-b6b0-4274-a98f-4a675628d202,Connacht Rugby,41d2c944-4a5a-4de0-8eb4-e5b57835cff7,3400,stay,,,
aebd3bc4-7445-44b7-beae-ded6ad3609bd,Zebre Parma,10650,Riccardo Genovese,ACTIVE,8338,38631,prop,b314ec41-b6b0-4274-a98f-4a675628d202,Zebre Parma,aebd3bc4-7445-44b7-beae-ded6ad3609bd,10650,stay,,,
bdb20011-d913-4688-b8fa-38a2a96c22b2,Dragons RFC,3100,Robert Hunt,ACTIVE,8166,39975,hooker,b314ec41-b6b0-4274-a98f-4a675628d202,Dragons RFC,bdb20011-d913-4688-b8fa-38a2a96c22b2,3100,stay,,,
8b15860f-dd5c-45c0-be1d-985e82f5e295,Munster Rugby,2150,Bryan Fitzgerald,ACTIVE,8066,67703,centre,b314ec41-b6b0-4274-a98f-4a675628d202,Munster Rugby,8b15860f-dd5c-45c0-be1d-985e82f5e295,2150,stay,,,
961763ec-e93a-42f8-a91e-f7fcb114c02c,Benetton Rugby,1850,Enzo Avaca,ACTIVE,7867,57521,prop,b314ec41-b6b0-4274-a98f-4a675628d202,Benetton Rugby,961763ec-e93a-42f8-a91e-f7fcb114c02c,1850,stay,,,
3bb58f66-38c1-4f9c-adff-0ac33a01533b,Saracens,1500,Maro Itoje,ACTIVE,6900,20440,lock,9233192a-bfed-489b-b224-5c9e02f587de,Saracens,3bb58f66-38c1-4f9c-adff-0ac33a01533b,1500,stay,,,
